Date,Amazon,Iosys,BackMarket
2026-09-23 03:55,87900,92800,80100
2026-09-23 10:27,87900,92800,80100
2026-09-23 17:29,87900,92800,80100
2026-09-23 23:14,87900,92800,80100
2026-09-24 10:19,87900,92800,80100
2026-09-24 17:21,87900,92800,80100
2026-09-24 23:13,87900,92800,80100
2026-09-25 03:03,87900,92800,80100
2026-09-25 06:27,87900,92800,80100
2026-09-25 09:30,87900,92800,80100
